"No.","Time","Source","Destination","Protocol","Length","Info"
"770","78.984128","192.168.1.12","224.0.0.251","MDNS","665","Standard query response 0x0000 TXT TXT, cache flush PTR _rdlink._tcp.local PTR iPad di Leonardo (3)._rdlink._tcp.local SRV, cache flush 0 0 49153 iPad-di-Leonardo-2.local TXT, cache flush PTR _companion-link._tcp.local PTR iPad di Leonardo (3)._companion-link._tcp.local SRV, cache flush 0 0 51220 iPad-di-Leonardo-2.local A, cache flush 192.168.1.12 AAAA, cache flush fe80::18af:509e:62d9:28ab NSEC, cache flush iPad di Leonardo (3)._rdlink._tcp.local NSEC, cache flush iPad di Leonardo (3)._companion-link._tcp.local NSEC, cache flush iPad-di-Leonardo-2.local OPT"
"771","78.984291","fe80::18af:509e:62d9:28ab","ff02::fb","MDNS","685","Standard query response 0x0000 TXT TXT, cache flush PTR _rdlink._tcp.local PTR iPad di Leonardo (3)._rdlink._tcp.local SRV, cache flush 0 0 49153 iPad-di-Leonardo-2.local TXT, cache flush PTR _companion-link._tcp.local PTR iPad di Leonardo (3)._companion-link._tcp.local SRV, cache flush 0 0 51220 iPad-di-Leonardo-2.local A, cache flush 192.168.1.12 AAAA, cache flush fe80::18af:509e:62d9:28ab NSEC, cache flush iPad di Leonardo (3)._rdlink._tcp.local NSEC, cache flush iPad di Leonardo (3)._companion-link._tcp.local NSEC, cache flush iPad-di-Leonardo-2.local OPT"
"772","79.051122","192.168.1.15","224.0.0.251","MDNS","264","Standard query response 0x0000 PTR, cache flush iPhone-di-Leonardo.local PTR, cache flush iPhone-di-Leonardo.local NSEC, cache flush 6.4.4.8.3.3.E.E.E.F.9.E.4.4.8.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 15.1.168.192.in-addr.arpa OPT"
"773","79.051656","fe80::844:e9fe:ee33:8446","ff02::fb","MDNS","284","Standard query response 0x0000 PTR, cache flush iPhone-di-Leonardo.local PTR, cache flush iPhone-di-Leonardo.local NSEC, cache flush 6.4.4.8.3.3.E.E.E.F.9.E.4.4.8.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 15.1.168.192.in-addr.arpa OPT"
"774","79.051656","192.168.1.15","224.0.0.251","MDNS","215","Standard query 0x0000 ANY iPhone di Leonardo._rdlink._tcp.local, ""QM"" question ANY iPhone-di-Leonardo.local, ""QM"" question SRV 0 0 49153 iPhone-di-Leonardo.local AAAA fe80::844:e9fe:ee33:8446 A 192.168.1.15 OPT"
"775","79.052353","fe80::844:e9fe:ee33:8446","ff02::fb","MDNS","235","Standard query 0x0000 ANY iPhone di Leonardo._rdlink._tcp.local, ""QM"" question ANY iPhone-di-Leonardo.local, ""QM"" question SRV 0 0 49153 iPhone-di-Leonardo.local AAAA fe80::844:e9fe:ee33:8446 A 192.168.1.15 OPT"
"776","79.201571","192.168.1.15","224.0.0.251","MDNS","250","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR iPad di Leonardo (3)._companion-link._tcp.local PTR MacBook Air di Stefania._companion-link._tcp.local PTR iPad (6)._companion-link._tcp.local OPT"
"777","79.202092","fe80::844:e9fe:ee33:8446","ff02::fb","MDNS","270","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR iPad di Leonardo (3)._companion-link._tcp.local PTR MacBook Air di Stefania._companion-link._tcp.local PTR iPad (6)._companion-link._tcp.local OPT"
"778","79.304247","192.168.1.15","224.0.0.251","MDNS","417","Standard query response 0x0000 TXT, cache flush PTR _rdlink._tcp.local PTR iPhone di Leonardo._rdlink._tcp.local TXT SRV, cache flush 0 0 49153 iPhone-di-Leonardo.local AAAA, cache flush fe80::844:e9fe:ee33:8446 A, cache flush 192.168.1.15 NSEC, cache flush iPhone di Leonardo._rdlink._tcp.local NSEC, cache flush iPhone-di-Leonardo.local OPT"
"779","79.304486","fe80::844:e9fe:ee33:8446","ff02::fb","MDNS","437","Standard query response 0x0000 TXT, cache flush PTR _rdlink._tcp.local PTR iPhone di Leonardo._rdlink._tcp.local TXT SRV, cache flush 0 0 49153 iPhone-di-Leonardo.local AAAA, cache flush fe80::844:e9fe:ee33:8446 A, cache flush 192.168.1.15 NSEC, cache flush iPhone di Leonardo._rdlink._tcp.local NSEC, cache flush iPhone-di-Leonardo.local OPT"
"780","79.638490","192.168.1.13","192.168.1.29","TCP","164","64447  >  8009 [PSH, ACK] Seq=1761 Ack=1765 Win=1023 Len=110 [TCP segment of a reassembled PDU]"
"781","79.642836","192.168.1.29","192.168.1.13","TCP","164","8009  >  64447 [PSH, ACK] Seq=1765 Ack=1871 Win=312 Len=110 [TCP segment of a reassembled PDU]"
"782","79.683959","192.168.1.13","192.168.1.29","TCP","54","64447  >  8009 [ACK] Seq=1871 Ack=1875 Win=1023 Len=0"
"783","79.866315","192.168.1.12","224.0.0.251","MDNS","264","Standard query response 0x0000 PTR, cache flush iPad-di-Leonardo-2.local PTR, cache flush iPad-di-Leonardo-2.local NSEC, cache flush 12.1.168.192.in-addr.arpa NSEC, cache flush B.A.8.2.9.D.2.6.E.9.0.5.F.A.8.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa OPT"
"784","79.866470","fe80::18af:509e:62d9:28ab","ff02::fb","MDNS","284","Standard query response 0x0000 PTR, cache flush iPad-di-Leonardo-2.local PTR, cache flush iPad-di-Leonardo-2.local NSEC, cache flush 12.1.168.192.in-addr.arpa NSEC, cache flush B.A.8.2.9.D.2.6.E.9.0.5.F.A.8.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa OPT"
"785","80.306194","192.168.1.15","224.0.0.251","MDNS","417","Standard query response 0x0000 TXT, cache flush PTR _rdlink._tcp.local PTR iPhone di Leonardo._rdlink._tcp.local TXT SRV, cache flush 0 0 49153 iPhone-di-Leonardo.local AAAA, cache flush fe80::844:e9fe:ee33:8446 A, cache flush 192.168.1.15 NSEC, cache flush iPhone di Leonardo._rdlink._tcp.local NSEC, cache flush iPhone-di-Leonardo.local OPT"
"786","80.306434","fe80::844:e9fe:ee33:8446","ff02::fb","MDNS","437","Standard query response 0x0000 TXT, cache flush PTR _rdlink._tcp.local PTR iPhone di Leonardo._rdlink._tcp.local TXT SRV, cache flush 0 0 49153 iPhone-di-Leonardo.local AAAA, cache flush fe80::844:e9fe:ee33:8446 A, cache flush 192.168.1.15 NSEC, cache flush iPhone di Leonardo._rdlink._tcp.local NSEC, cache flush iPhone-di-Leonardo.local OPT"
"787","80.457894","162.159.136.234","192.168.1.13","TLSv1.2","151","Application Data"
"788","80.504875","192.168.1.13","162.159.136.234","TCP","54","54941  >  443 [ACK] Seq=109 Ack=21509 Win=1027 Len=0"
"789","80.566736","192.168.1.15","224.0.0.251","MDNS","191","Standard query response 0x0000 PTR iPhone di Leonardo._rdlink._tcp.local TXT OPT"
"790","80.567261","fe80::844:e9fe:ee33:8446","ff02::fb","MDNS","211","Standard query response 0x0000 PTR iPhone di Leonardo._rdlink._tcp.local TXT OPT"
"791","80.917405","192.168.1.12","224.0.0.251","MDNS","267","Standard query 0x0000 PTR lb._dns-sd._udp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR iPad (6)._companion-link._tcp.local PTR MacBook Air di Stefania._companion-link._tcp.local PTR iPad di Leonardo (3)._companion-link._tcp.local OPT"
"792","80.917613","fe80::18af:509e:62d9:28ab","ff02::fb","MDNS","287","Standard query 0x0000 PTR lb._dns-sd._udp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR iPad (6)._companion-link._tcp.local PTR MacBook Air di Stefania._companion-link._tcp.local PTR iPad di Leonardo (3)._companion-link._tcp.local OPT"
